BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0489301,TUSCARAWAS COUNTY CHAMBER OF COMMERCE,1/24/2017,1/24/2017,FOOD & BEVERAGE,40,2017,TUSCARAWAS COUNTY CHAMBER OF COMMERCE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0491960,ZANESVILLE MUSKINGUM CHAMBER OF COMMERCE,2/24/2017,2/24/2017,FOOD & BEVERAGE,10,2017,ZANESVILLE MUSKINGUM CHAMBER OF COMMERCE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0491963,BELPRE AREA CHAMBER OF COMMERCE,2/9/2017,2/9/2017,FOOD & BEVERAGE,13,2017,BELPRE AREA CHAMBER OF COMMERCE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0491964,TUSCARAWAS COUNTY CHAMBER OF COMMERCE,2/14/2017,2/17/2017,FOOD & BEVERAGE,20,2017,TUSCARAWAS COUNTY CHAMBER OF COMMERCE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/10/2017,AP,E0491970,COLUMBIANA AREA CHAMBER OF COMMERCE,2/26/2017,2/26/2017,FOOD & BEVERAGE,30,2017,COLUMBIANA AREA CHAMBER OF COMMERCE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/12/2017,AP,E0493819,KEELER SARAH,2/21/2017,2/21/2017,FOOD & BEVERAGE,20,2017,KEELER SARAH
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/12/2017,AP,E0493836,KARLEN ASHLEY N.,2/16/2017,2/16/2017,FOOD & BEVERAGE,25,2017,KARLEN ASHLEY N.
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/12/2017,AP,E0493960,HALLIBURTON DANIEL F.,2/2/2017,2/2/2017,FOOD & BEVERAGE,19,2017,HALLIBURTON DANIEL F.
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/12/2017,AP,E0493961,SMART KEVIN R,2/17/2017,2/17/2017,FOOD & BEVERAGE,12.92,2017,SMART KEVIN R
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/13/2017,AP,E0493835,CITIBANK GOV CARD SERVICE,2/21/2017,2/22/2017,FOOD & BEVERAGE,77,2017,CITIBANK GOV CARD SERVICE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0473045,YOUNGSTOWN WARREN REGIONAL CHAMBER,12/13/2016,12/13/2016,FOOD & BEVERAGE,25,2016,YOUNGSTOWN WARREN REGIONAL CHAMBER
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0473056,YOUNGSTOWN WARREN REGIONAL CHAMBER,12/13/2016,12/13/2016,FOOD & BEVERAGE,25,2016,YOUNGSTOWN WARREN REGIONAL CHAMBER
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0473047,KARLEN ASHLEY N.,11/16/2016,11/16/2016,FOOD & BEVERAGE,9.55,2016,KARLEN ASHLEY N.
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0473047,KARLEN ASHLEY N.,12/2/2016,12/13/2016,FOOD & BEVERAGE,223.16,2016,KARLEN ASHLEY N.
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/10/2017,AP,E0473049,STEPHENS JULI B.,12/20/2016,12/20/2016,FOOD & BEVERAGE,24.8,2016,STEPHENS JULI B.
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0474505,SILVER BRIDGE COFFEE COMPANY,12/19/2016,12/19/2016,FOOD & BEVERAGE,497.47,2016,SILVER BRIDGE COFFEE COMPANY
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/13/2017,AP,E0473044,KEELER SARAH,12/3/2016,12/3/2016,FOOD & BEVERAGE,20,2016,KEELER SARAH
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,E0469135,JEFFERSON COUNTY PORT AUTHORITY,12/14/2016,12/14/2016,FOOD & BEVERAGE,18,2016,JEFFERSON COUNTY PORT AUTHORITY
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,E0476309,CITIBANK GOV CARD SERVICE,11/28/2016,12/13/2016,FOOD & BEVERAGE,177.22,2016,CITIBANK GOV CARD SERVICE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,E0477834,MITCHELL PAUL D.,12/9/2016,12/9/2016,FOOD & BEVERAGE,40,2016,MITCHELL PAUL D.
J000126,HON. EDDIE BERNICE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-AMBER JAX FISH MAR,11/29/2016,12/28/2016,FOOD & BEVERAGE,661.19,2016,CITI PCARD-AMBER JAX FISH MAR
J000126,HON. EDDIE BERNICE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-EINSTEIN BROS BAGELS,11/29/2016,12/28/2016,FOOD & BEVERAGE,16.28,2016,CITI PCARD-EINSTEIN BROS BAGELS
J000126,HON. EDDIE BERNICE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-GREAT AMERICAN HERO,11/29/2016,12/28/2016,FOOD & BEVERAGE,160.74,2016,CITI PCARD-GREAT AMERICAN HERO
J000126,HON. EDDIE BERNICE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-POTBELLY,11/29/2016,12/28/2016,FOOD & BEVERAGE,117.53,2016,CITI PCARD-POTBELLY
J000126,HON. EDDIE BERNICE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SMASHBURGER - DALL,11/29/2016,12/28/2016,FOOD & BEVERAGE,81.31,2016,CITI PCARD-SMASHBURGER - DALL
J000288,"HON. HENRY C. ""HANK"" JOHNSON  JR.",2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/14/2017,AP,E0486737,PUBLIX SUPER MARKETS INC,1/15/2017,1/15/2017,FOOD & BEVERAGE,103.99,2017,PUBLIX SUPER MARKETS INC
J000288,"HON. HENRY C. ""HANK"" JOHNSON  JR.",2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/30/2017,AP,E0498617,PUBLIX SUPER MARKETS INC,2/10/2017,3/3/2017,FOOD & BEVERAGE,74.46,2017,PUBLIX SUPER MARKETS INC
J000299,HON. MIKE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/25/2017,1/25/2017,FOOD & BEVERAGE,145.07,2017,BOISE CASCADE COMPANY
J000299,HON. MIKE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,2/3/2017,2/3/2017,FOOD & BEVERAGE,23.76,2017,BOISE CASCADE COMPANY
J000299,HON. MIKE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/10/2017,3/10/2017,FOOD & BEVERAGE,23.31,2017,BOISE CASCADE COMPANY
J000299,HON. MIKE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/16/2017,2/16/2017,FOOD & BEVERAGE,47.94,2017,BOISE CASCADE COMPANY
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,E0480899,FOREMAN MEGAN S.,1/9/2017,1/9/2017,FOOD & BEVERAGE,60,2017,FOREMAN MEGAN S.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,E0480901,TALTON MEAGAN L.,1/12/2017,1/12/2017,FOOD & BEVERAGE,30,2017,TALTON MEAGAN L.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,E0480979,ALLEN-FAIRVIEW CHAMBER OF COMMERCE,1/20/2017,1/20/2017,FOOD & BEVERAGE,25,2017,ALLEN-FAIRVIEW CHAMBER OF COMMERCE
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/2/2017,AP,E0483780,HAMILTON AMANDA,1/25/2017,1/27/2017,FOOD & BEVERAGE,113.08,2017,HAMILTON AMANDA
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/2/2017,AP,E0483793,PATE ERMARIE G.,1/18/2017,1/18/2017,FOOD & BEVERAGE,50,2017,PATE ERMARIE G.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/2/2017,AP,E0483848,ALLEN-FAIRVIEW CHAMBER OF COMMERCE,2/10/2017,2/10/2017,FOOD & BEVERAGE,110,2017,ALLEN-FAIRVIEW CHAMBER OF COMMERCE
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0485501,HESTER THOMAS M.,1/25/2017,1/28/2017,FOOD & BEVERAGE,109.57,2017,HESTER THOMAS M.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487165,TALTON MEAGAN L.,2/3/2017,2/9/2017,FOOD & BEVERAGE,70,2017,TALTON MEAGAN L.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0489410,DROMGOOLE ALEXIS M.,2/11/2017,2/11/2017,FOOD & BEVERAGE,16.64,2017,DROMGOOLE ALEXIS M.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0489411,FOREMAN MEGAN S.,2/13/2017,2/13/2017,FOOD & BEVERAGE,100,2017,FOREMAN MEGAN S.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0489846,PATE ERMARIE G.,2/6/2017,2/6/2017,FOOD & BEVERAGE,30,2017,PATE ERMARIE G.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0495994,MURPHY CHAMBER OF COMMERCE,2/21/2017,2/21/2017,FOOD & BEVERAGE,20,2017,MURPHY CHAMBER OF COMMERCE
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500213,FOREMAN MEGAN S.,3/6/2017,3/13/2017,FOOD & BEVERAGE,16.7,2017,FOREMAN MEGAN S.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500215,PATE ERMARIE G.,2/17/2017,3/17/2017,FOOD & BEVERAGE,155,2017,PATE ERMARIE G.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500216,TALTON MEAGAN L.,2/16/2017,3/20/2017,FOOD & BEVERAGE,195,2017,TALTON MEAGAN L.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500217,SHALLOW RACHEL L.,2/24/2017,2/24/2017,FOOD & BEVERAGE,12.78,2017,SHALLOW RACHEL L.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/5/2017,AP,897046,FOREMAN MEGAN S.,12/8/2016,12/10/2016,FOOD & BEVERAGE,431.79,2016,FOREMAN MEGAN S.
J000174,HON. SAM JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0477150,RICHARDSON CHAMBER OF COMMERCE,11/16/2016,11/16/2016,FOOD & BEVERAGE,120,2016,RICHARDSON CHAMBER OF COMMERCE
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/25/2017,1/25/2017,FOOD & BEVERAGE,111.58,2017,BOISE CASCADE COMPANY
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,2/3/2017,2/3/2017,FOOD & BEVERAGE,39.69,2017,BOISE CASCADE COMPANY
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/3/2017,2/3/2017,FOOD & BEVERAGE,27.68,2017,BOISE CASCADE COMPANY
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,E0498915,TAYLOR BARBARA,2/10/2017,2/22/2017,FOOD & BEVERAGE,35,2017,TAYLOR BARBARA
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,E0498915,TAYLOR BARBARA,12/1/2016,12/1/2016,FOOD & BEVERAGE,15,2016,TAYLOR BARBARA
J000295,HON. DAVID P. JOYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/8/2017,AP,E0473441,BURGER KATALYN M.,11/15/2016,11/15/2016,FOOD & BEVERAGE,10,2016,BURGER KATALYN M.
J000295,HON. DAVID P. JOYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/8/2017,AP,E0473539,BURGER KATALYN M.,9/20/2016,9/20/2016,FOOD & BEVERAGE,25,2016,BURGER KATALYN M.
J000295,HON. DAVID P. JOYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/8/2017,AP,E0473539,BURGER KATALYN M.,10/11/2016,10/11/2016,FOOD & BEVERAGE,15,2016,BURGER KATALYN M.
J000295,HON. DAVID P. JOYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,E0495527,BURGER KATALYN M.,12/7/2016,12/7/2016,FOOD & BEVERAGE,12,2016,BURGER KATALYN M.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0481292,MICHAEL'S GOURMENT CATERING,1/14/2017,1/14/2017,FOOD & BEVERAGE,158.8,2017,MICHAEL'S GOURMENT CATERING
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0481295,KATICH III STEVE J.,1/15/2017,1/15/2017,FOOD & BEVERAGE,25.15,2017,KATICH III STEVE J.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0481293,PERRINO JENNIFER E.,1/3/2017,1/3/2017,FOOD & BEVERAGE,203.26,2017,PERRINO JENNIFER E.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0480446,KATICH III STEVE J.,1/16/2017,1/16/2017,FOOD & BEVERAGE,109.05,2017,KATICH III STEVE J.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/24/2017,AP,E0486934,SARSOUR NORA N.,2/7/2017,2/7/2017,FOOD & BEVERAGE,44.65,2017,SARSOUR NORA N.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/1/2017,AP,E0488261,MICHAEL'S GOURMENT CATERING,2/13/2017,2/13/2017,FOOD & BEVERAGE,29.5,2017,MICHAEL'S GOURMENT CATERING
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0492040,KATICH III STEVE J.,2/20/2017,2/20/2017,FOOD & BEVERAGE,15.86,2017,KATICH III STEVE J.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/24/2017,AP,E0497125,SARSOUR NORA N.,2/28/2017,2/28/2017,FOOD & BEVERAGE,47.18,2017,SARSOUR NORA N.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,E0497902,KATICH III STEVE J.,3/11/2017,3/11/2017,FOOD & BEVERAGE,155.54,2017,KATICH III STEVE J.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,E0497902,KATICH III STEVE J.,3/14/2017,3/14/2017,FOOD & BEVERAGE,50.16,2017,KATICH III STEVE J.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0471900,HON. MARCY KAPTUR,8/27/2016,8/27/2016,FOOD & BEVERAGE,7.37,2016,HON. MARCY KAPTUR
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0471900,HON. MARCY KAPTUR,9/7/2016,9/7/2016,FOOD & BEVERAGE,31.4,2016,HON. MARCY KAPTUR
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0471900,HON. MARCY KAPTUR,11/15/2016,11/15/2016,FOOD & BEVERAGE,16.1,2016,HON. MARCY KAPTUR
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0471900,HON. MARCY KAPTUR,11/21/2016,11/21/2016,FOOD & BEVERAGE,75,2016,HON. MARCY KAPTUR
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0473868,FOCACCIAS,12/22/2016,12/22/2016,FOOD & BEVERAGE,84.76,2016,FOCACCIAS
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0473867,FOCACCIAS,12/27/2016,12/27/2016,FOOD & BEVERAGE,197.55,2016,FOCACCIAS
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/14/2017,AP,E0475870,KATICH III STEVE J.,12/27/2016,12/27/2016,FOOD & BEVERAGE,26.05,2016,KATICH III STEVE J.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/26/2017,AP,E0479652,HARRIS KAREN D.,12/2/2016,12/2/2016,FOOD & BEVERAGE,72.66,2016,HARRIS KAREN D.
K000386,HON. JOHN KATKO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0484367,CORNELL CHRISTINA M.,1/27/2017,1/27/2017,FOOD & BEVERAGE,25,2017,CORNELL CHRISTINA M.
K000386,HON. JOHN KATKO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0484912,HON JOHN KATKO,1/18/2017,1/18/2017,FOOD & BEVERAGE,91.86,2017,HON JOHN KATKO
K000386,HON. JOHN KATKO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/13/2017,AP,E0483194,CAYUGA ECONOMIC DEVELOPMENT AGENCY,1/19/2017,1/19/2017,FOOD & BEVERAGE,120,2017,CAYUGA ECONOMIC DEVELOPMENT AGENCY
K000386,HON. JOHN KATKO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/9/2017,AP,E0494262,DENNIS TERRE,2/28/2017,2/28/2017,FOOD & BEVERAGE,30,2017,DENNIS TERRE
K000386,HON. JOHN KATKO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/10/2017,AP,E0476059,DELLONTE TRISH,10/16/2016,10/16/2016,FOOD & BEVERAGE,40,2016,DELLONTE TRISH
K000386,HON. JOHN KATKO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,E0488174,AUBURN YMCA-WEIU,9/21/2016,9/21/2016,FOOD & BEVERAGE,150,2016,AUBURN YMCA-WEIU
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/6/2017,1/6/2017,FOOD & BEVERAGE,56.58,2017,BOISE CASCADE COMPANY
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/13/2017,1/13/2017,FOOD & BEVERAGE,23.31,2017,BOISE CASCADE COMPANY
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/19/2017,1/19/2017,FOOD & BEVERAGE,25.28,2017,BOISE CASCADE COMPANY
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-AMAZON MKTPLACE PMTS,1/29/2017,2/28/2017,FOOD & BEVERAGE,49.94,2017,CITI PCARD-AMAZON MKTPLACE PMTS
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/3/2017,3/3/2017,FOOD & BEVERAGE,20.65,2017,BOISE CASCADE COMPANY
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,898445,CITIBANK P CARD,10/29/2016,11/28/2016,FOOD & BEVERAGE,-163.19,2016,CITIBANK P CARD
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/14/2017,AP,E0487117,BURKE JILL,1/23/2017,1/23/2017,FOOD & BEVERAGE,20,2017,BURKE JILL
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-PAPA JOHN'S,1/3/2017,1/28/2017,FOOD & BEVERAGE,110,2017,CITI PCARD-PAPA JOHN'S
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-SHOPPERS FOOD / PHAR,1/3/2017,1/28/2017,FOOD & BEVERAGE,264.56,2017,CITI PCARD-SHOPPERS FOOD / PHAR
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-AVI HQ CATERING,1/29/2017,2/28/2017,FOOD & BEVERAGE,102.08,2017,CITI PCARD-AVI HQ CATERING
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CREAMERY DD,11/29/2016,12/28/2016,FOOD & BEVERAGE,27,2016,CITI PCARD-CREAMERY DD
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-PANERA BREAD,11/29/2016,12/28/2016,FOOD & BEVERAGE,63.12,2016,CITI PCARD-PANERA BREAD
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/11/2017,1/11/2017,FOOD & BEVERAGE,47.68,2017,BOISE CASCADE COMPANY
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DAT DONUTS,1/3/2017,1/28/2017,FOOD & BEVERAGE,14.38,2017,CITI PCARD-DAT DONUTS
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DUNKIN,1/3/2017,1/28/2017,FOOD & BEVERAGE,22.18,2017,CITI PCARD-DUNKIN
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DAT DONUTS,1/29/2017,2/28/2017,FOOD & BEVERAGE,18.63,2017,CITI PCARD-DAT DONUTS
